"ExternalKey","PromoCode","Name","EventType","StartDate","EndDate","Mechanics","DisplayType","CustomerStatus"
"NVGMYP00000000476134","POSM CHARG","24_BSN_MDLZ_POSM DELIVERY","Trade Spend Only","01/06/2024","31/12/2024","Others","Homeshelf","Sent for confirmation"
"NVGMYP00000000476765","DISPLAY","Lotuss Self COC Display Investment","Trade Spend Only","01/06/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000476766","DISPLAY","Lotuss Striker Unit Display Investment ","Trade Spend Only","01/09/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000476824","2024","FY2024_TFP_CAD_TTA_MAILER FEE_2024 ","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000476825","TFPNSO","FY2024_TFP_CAD_TTA_NEW STORE OPENING_2024 ","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000476946","INSTORE","07-12_7E_MDLZ_CAD COOKIE_STANDEE","Default","10/06/2024","16/12/2024","Price-Off","Homeshelf","Sent for confirmation"
"NVGMYP00000000476947","FRIDGE TRA","07-12_BSN_CAD_CDM SMALL BAR FRIDGE TRAY","Default","17/06/2024","16/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000482720","CHOC_24","DEC24_GIANT_CADBURY_HOT BEV_BUY 1 RM16.99_TPR7%_MAILER ","Default","12/12/2024","01/01/2025","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000482765","BEV 12","DEC24_AEON_CAD_HOT CHOC_BUY 1 @ RM17.79_7%_4x4_DB","Default","25/11/2024","10/12/2024","Price-Off","Display - Big","Sent for confirmation"
"NVGMYP00000000482774","BEV 12","DEC24_AEONBIG_CAD_CADBURY 3IN1_BUY 1 @ RM14.50_7%_GE_DB","Default","25/11/2024","10/12/2024","Price-Off","Display - Big","Sent for confirmation"
"NVGMYP00000000483408","CHOC 12","DEC24_AEONBIG_MDLZ_TOB SB_BUY 1 @ RM15.49_12%","Default","25/11/2024","28/12/2024","Price-Off","Homeshelf","Sent for confirmation"
"NVGMYP00000000483886","99SMEDLP","99SM CAD_CRUNCHIE_ TPR 19.15%_EDLP","Trade Spend Only","31/07/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000484077","CLEARANCE","Lotuss_CadburyAU_Clearance 0224- 0624","Trade Spend Only","04/02/2024","05/06/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000484112","CLEARANCE","Lotuss_Cadbury_Clearance 0724-1224","Trade Spend Only","15/07/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000484114","CLEARANCE","Lotuss_TobleroneSharebag_Clearance","Trade Spend Only","15/07/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000484138","GE","1224_7E_CAD_HALLS XS_GE","Trade Spend Only","18/11/2024","16/12/2024","Price-Off","Display - Big","Sent for confirmation"
"NVGMYP00000000484171","GE","1224_7E_MDLZ_OREO FS_GE","Trade Spend Only","11/11/2024","16/12/2024","Price-Off","Display - Big","Sent for confirmation"
"NVGMYP00000000462229","99SM1224","99SM_CAD_CDM SHAREBAG 300G_TPR8%@RM14.50_1224 ","Default","13/11/2024","14/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000462594","LISTING","7E_CADBURY_2024 LISTING FEES","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000462596","LISTING","7E_MDLZ_2024 LISTING FEES","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000463760","99SMEDLP","99SM CAD_CDM NEAP JAR_ TPR 8%_EDLP ","Trade Spend Only","01/01/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000463761","99SMEDLP","99SM_MDLZ_TOBLERONE SB_TPR5%_EDLP","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000450528","99SMEDLP","99SM_CAD ZIP SHAREBAG TPR7%+2.59%_EDLP","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000450532","99SMEDLP","99SM_MDLZ_CADBURY COOKIES_TPR5%_EDLP","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000450647","99SMACTIVATION ","99SM_MDLZ_BISCUIT PROMO ACTIVATION_H224","Trade Spend Only","01/07/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000451016","INSTOREDEC24","MYDIN_CADBURY_CDM 160G_BUY 1@RM7.29_TPR 15%_IN STOREDEC24","Default","09/12/2024","28/01/2025","NA","Display - Big","Sent for confirmation"
"NVGMYP00000000451056","INSTOREDEC24","MYDIN_CADBURY_CDM SHAREBAG_BUY 1@RM8.49_TPR 10%_INSTORE DEC24","Default","09/12/2024","28/01/2025","NA","Display - Big","Sent for confirmation"
"NVGMYP00000000451517","24/11/2024 00:00:00","MYDIN_MDLZ_JACOBS VALUE PACK_BUY 1@ RM5.29 TPR 5.0%_NOV24","Default","14/11/2024","16/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000451530","NOV24","MYDIN_MDLZ_CADBURY COOKIES_B2 @ RM12.99_TPR 5%_INSTORENOV24","Default","11/11/2024","29/12/2024","NA","Display - Big","Sent for confirmation"
"NVGMYP00000000451540","24/11/2024 00:00:00","MYDIN_MDLZ_CHACHOS 70G_BUY 1 @ RM2.69_TPR 5%_NOV24","Default","14/11/2024","16/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000452076","NSO'24","24_7E_CAD NSO 0.07%","Trade Spend Only","01/01/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000452133","24/12/2024 00:00:00","WATSON_MDLZ_OREO FS_TPR 10%_ Buy 1 @ RM3_DEC24","Default","26/11/2024","23/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000452152","24/12/2024 00:00:00","CARING_MONDELEZ_CM OATS MINI 80G_TPR 5%_DEC24","Default","01/12/2024","31/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000452307","Display","GIANT_CADBURY_6%TTA DISPLAY","Trade Spend Only","01/04/2024","29/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452268","Display","GIANT_MDLZ_TTA 6%_PERMANENT DISPLAYS","Trade Spend Only","01/04/2024","29/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000452359","99SMEDLP","99SM CAD_CDM SHAREBAG 288G_ TPR 5%+ 4.31%_EDLP","Trade Spend Only","01/01/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000452549","CLEARANCE","24_7E_MDLZ_CLEARANCE_50%_INSTORE","Default","01/01/2024","31/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000452659","INSTOREDEC24","MYDIN_CADBURY_CDM 160G INCLUSION_BUY 1@RM7.29_TPR 15%_INSTORE DEC24","Default","09/12/2024","28/01/2025","NA","Display - Big","Sent for confirmation"
"NVGMYP00000000452790","CLEARANCE","24_7E_CAD_CLEARANCE_50%_INSTORE","Default","01/01/2024","31/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000452808","NSO","24_7E_MDLZ_NSO 0.09%","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452841","TTA2024","CARING_CADBURY_NEW STORE OPENING & REFIT STORES","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452842","TTA2024","CARING_MONDELEZ_NEW STORE OPENING & REFIT STORES","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452843","TTA2024","WATSONS_MONDELEZ_NEW STORE OPENING & REFIT STORE","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452846","TTA2024","WATSON_CADBURY_NEW STORE OPENING & REFIT STORE","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000452903","wkxx","Lotuss_Mdlz Cheezels MP Buy 1 @ RM4.39 TPR 15% - 1224","Default","05/11/2024","24/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000452922","wk51","Lotuss_Mdlz_Twisties Cheezels MP _Buy1_RM4.39_TPR15%_1224","Default","10/12/2024","24/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000452972","WK51","Lotuss Mdlz Jacob Baked Crisps @ RM8.99 TPR 4%- 1224","Default","26/11/2024","10/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000452973","WK47","Lotuss Mdlz Jacob Baked Crisps @ RM8.99 TPR 4%- 1124-1224","Default","12/11/2024","10/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000452980","WK49-51","Lotuss_Mdlz_Jacob_MPK 600g _RM8.99_TPR_6%-14%_1224","Default","27/11/2024","24/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000452988","WK","Lotuss Mdlz Oreo MP @ RM5.99 TPR 10% - 1224","Default","10/12/2024","24/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453000","wkxx","Lotuss Mdlz Oreo FS @ RM2.79 TPR 8% - 1124","Default","26/11/2024","10/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453001","wkxx","Lotuss Mdlz Oreo FS @ RM2.79 TPR 8% - 1224","Default","09/12/2024","22/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453051","2024","MYDIN_CADBURY_CHOCOLATES DISPLAY & AD HOC 2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453062","WK51","Lotuss_Mdlz_Chipsmore 135g_RM3.49_TPR11%_1224","Default","10/12/2024","28/01/2025","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000453077","2024","MYDIN_CADBURY_MMI DISPLAY INVESTMENT 2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453089","2024","MYDIN_CADBURY_ ANNIVERSARY/ BRAND FAIR SUPPORT","Trade Spend Only","01/09/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453092","99SM10241224","99SM_MDLZ_OREO FS_TPR10%@RM2.99_10241224","Default","15/10/2024","17/01/2025","Price-Off","Display - Big","Sent for confirmation"
"NVGMYP00000000453103","99SM1224","99SM_MDLZ_OREO MP_TPR 8%@RM6.10_1224","Default","26/11/2024","02/01/2025","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453120","99SM1224","99SM_MDLZ_CHIPSMORE MP_TPR8%@RM6.05_1124","Default","05/11/2024","12/12/2024","Price-Off","Display - Small","Sent for confirmation"
"NVGMYP00000000453124","2024","MYDIN_CADBURY_CDM 160G_WHOLESALES_TPR 2%-10%_Q424","Trade Spend Only","01/10/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453130","2024","MYDIN_MDLZ_BISNACK_ DISPLAY & AD HOC 2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453160","OREO24","MYDIN_MDLZ_OREO FS_TPR 13%_BESPOKE EDLP_Q424","Default","01/10/2024","31/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000453316","wk49","Lotuss Mdlz Chipsmore MP @ RM5.99 TPR7% - 1124","Default","26/11/2024","10/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453318","wk51","Lotuss_Mdlz_Chipsmore MP_RM5.99_TPR8%_1224","Default","09/12/2024","28/01/2025","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453330","wkxx","Lotuss Mdlz Chipsmore oats MP @ RM5.99 TPR7% - 1224","Default","09/12/2024","22/12/2024","Price-Off","Display - Medium","Sent for confirmation"
"NVGMYP00000000453346","TTA24","WATSON_CADBURY_CDM_CHRISTMAS SALES_2024 TTA","Trade Spend Only","01/12/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453352","TTA24","WATSON_CADBURY_CDM_DISPLAY","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453355","TTA24","WATSON_CADBURY_CDM_LISTING FEE","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453362","TTA24","WATSON_CADBURY_CDM_MAILER","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453366","TTA24","WATSON_CADBURY_CDM_PROCESSING FEE","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453367","2024","WATSON_MDLZ_BISNACK_AD HOC","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453450","99SMACTIVATION","99SM_CAD_CHOCOLATE PROMO ACTIVATION_H224","Trade Spend Only","01/07/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000453619","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453620","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453621","CDMQ4'24","2024_Q4_Perfect Store_CDM Small Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453622","CDMQ4'24","2024_Q4_Store Opening_CDM Big Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453623","CDMQ4'24","2024_Q4_Store Opening_CDM Mid Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453624","CDMQ4'24","2024_Q4_Store Opening_CDM Mini Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453625","CDMQ4'24","2024_Q4_Store Opening_CDM Mini Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453626","CDMQ4'24","2024_Q4_Store Opening_CDM Small Bar_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453651","CDMQ4'24","2024_Q4_Perfect Store_CDM Big Bar_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453652","CDMQ4'24","2024_Q4_Perfect Store_CDM Mid Bar_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453654","CDMQ4'24","2024_Q4_Perfect Store_CDM Sharebag_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453655","ZIPQ4'24","2024_Q4_Perfect Store_Zip Sharebag_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453656","CDMQ4'24","2024_Q4_Store Opening_CDM Big Bar_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453657","CDMQ4'24","2024_Q4_Store Opening_CDM Mid Bar_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453658","CDMQ4'24","2024_Q4_Store Opening_CDM Neaps Sharebag_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453659","CDMQ4'24","2024_Q4_Store Opening_CDM Sharebag_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453660","CDMQ4'24","2024_Q4_Store Opening_CDM Small Bar_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453669","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453670","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453671","CDMQ4'24","2024_Q4_Perfect Store_CDM Small Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453672","HallsQ4'24","2024_Q4_Perfect Store_Halls XS_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453677","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Aeon Big","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453679","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Aeon Big","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453684","CDMQ4'24","2024_Q4_Perfect Store_CDM Small Bar_MT_Giant","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453685","HallsQ4'24","2024_Q4_Perfect Store_Halls XS_MT_Giant","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453697","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_LOTUSS","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453698","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_LOTUSS","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453706","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Mydin ","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453707","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Mydin","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453715","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Purveyor","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453716","CDMQ1'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Purveyor","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453748","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453749","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453750","OTHQ4'24","2024_Q4_Perfect Store_CDM AU_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453782","CDMQ4'24","2024_Q4_Perfect Store_CDM Mid Bar_MT_LOTUSS","Trade Spend Only","01/10/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000454213","CMOREQ4'24","2024_Q4_Coverage_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454214","CMOREQ4'24","2024_Q4_Coverage_Chipsmore Mini_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454215","OREOQ4'24","2024_Q4_Coverage_Oreo HS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454216","TIGERQ4'24","2024_Q4_Coverage_Tiger Small Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454217","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454218","OREOQ4'24","2024_Q4_MMM_Oreo FS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454219","OREOQ4'24","2024_Q4_Coverage_Oreo FS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454220","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454221","OREOQ4'24","2024_Q4_MMM_Oreo MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454222","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454226","JACOBQ4'24","2024_Q4_Perfect Store_Jacobs Baked Crisps Small Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454227","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454228","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mini MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
